I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
-76.7,-125.5,-130.38,-62.06,-57.18,-130.38,1.38,11.14,-8.38,-62.06,-125.5,-135.26
-90.99,-139.79,-134.91,-56.83,-66.59,-139.79,-3.15,11.49,-3.15,-56.83,-100.75,-134.91
-43.96,-73.24,-68.36,-19.56,-29.32,-73.24,39.0,48.76,43.88,-4.92,-53.72,-92.76
29.19,14.55,19.43,48.71,38.95,14.55,107.27,121.91,112.15,68.23,-4.97,-19.61
88.85,79.09,83.97,103.49,93.73,79.09,171.81,186.45,171.81,127.89,69.33,35.17
107.63,88.11,88.11,117.39,117.39,88.11,195.47,210.11,190.59,146.67,97.87,63.71
68.28,39.0,39.0,82.92,82.92,39.0,151.24,170.76,146.36,102.44,39.0,19.48
1.95,-22.45,-27.33,6.83,11.71,-27.33,80.03,109.31,84.91,36.11,-27.33,-51.73
-57.59,-86.87,-96.63,-62.47,-47.83,-91.75,20.49,44.89,30.25,-23.43,-96.63,-116.15
-85.12,-133.92,-138.8,-70.48,-65.6,-138.8,7.6,32.0,22.24,-36.32,-114.4,-133.92
-48.79,-92.71,-102.47,-43.91,-34.15,-97.59,34.17,63.45,68.33,0.01,-82.95,-102.47
19.76,-4.64,-14.4,14.88,24.64,-9.52,92.96,127.12,132.0,73.44,10.0,-38.8
83.43,73.67,68.79,78.55,83.43,68.79,161.51,190.79,210.31,151.75,73.67,29.75
114.88,105.12,100.24,110.0,114.88,100.24,192.96,232.0,236.88,192.96,95.36,70.96
87.35,72.71,72.71,97.11,92.23,72.71,165.43,214.23,219.11,170.31,77.59,48.31
27.81,13.17,8.29,27.81,32.69,8.29,105.89,149.81,159.57,110.77,22.93,-11.23
-33.64,-62.92,-77.56,-48.28,-28.76,-72.68,29.8,83.48,88.36,44.44,-48.28,-72.68
-72.99,-107.15,-121.79,-82.75,-63.23,-116.91,-9.55,53.89,53.89,5.09,-87.63,-112.03
-49.33,-78.61,-103.01,-83.49,-49.33,-93.25,9.23,72.67,82.43,33.63,-68.85,-98.13
10.33,-18.95,-43.35,-23.83,10.33,-33.59,73.77,137.21,151.85,98.17,-4.31,-43.35
78.6,63.96,44.44,49.32,73.72,54.2,146.92,215.24,239.64,181.08,83.48,34.68
125.63,106.11,86.59,96.35,125.63,96.35,203.71,272.03,306.19,247.63,125.63,96.35
125.98,116.22,91.82,82.06,116.22,101.58,174.78,252.86,291.9,247.98,125.98,82.06
77.29,72.41,43.13,23.61,62.65,57.77,126.09,209.05,243.21,209.05,96.81,38.25
-1.11,-10.87,-35.27,-45.03,-10.87,-25.51,52.57,135.53,169.69,130.65,8.65,-35.27
-49.8,-64.44,-93.72,-98.6,-59.56,-79.08,-1.0,86.84,111.24,81.96,-30.28,-83.96
-49.45,-59.21,-93.37,-112.89,-64.09,-78.73,-5.53,87.19,111.59,77.43,-34.81,-78.73
2.46,-21.94,-60.98,-60.98,-7.3,-41.46,41.5,143.98,163.5,129.34,7.34,-31.7
75.61,51.21,12.17,12.17,65.85,31.69,119.53,222.01,256.17,212.25,75.61,41.45
135.27,120.63,81.59,66.95,120.63,101.11,179.19,296.31,335.35,281.67,140.15,105.99
149.17,139.41,100.37,75.97,134.53,119.89,197.97,319.97,368.77,310.21,163.81,124.77
124.46,104.94,51.26,26.86,104.94,75.66,158.62,285.5,344.06,285.5,129.34,85.42
48.37,43.49,-5.31,-44.35,23.97,19.09,87.41,209.41,282.61,228.93,77.65,23.97
-11.17,-11.17,-64.85,-118.53,-40.45,-40.45,18.11,144.99,223.07,169.39,37.63,-35.57
-24.06,-19.18,-82.62,-150.94,-58.22,-53.34,-4.54,132.1,205.3,156.5,24.74,-53.34
7.39,7.39,-56.05,-119.49,-26.77,-26.77,31.79,168.43,246.51,207.47,46.43,-17.01
80.82,75.94,7.62,-50.94,46.66,41.78,95.46,241.86,315.06,276.02,110.1,56.42
173.77,149.37,56.65,2.97,139.61,100.57,168.89,325.05,403.13,354.33,193.29,134.73
200.34,180.82,92.98,34.42,166.18,136.9,200.34,366.26,449.22,395.54,219.86,166.18
182.57,158.17,65.45,11.77,148.41,109.37,182.57,348.49,446.09,382.65,197.21,143.53
108.39,93.75,10.79,-47.77,74.23,49.83,123.03,303.59,401.19,337.75,162.07,88.87
37.18,22.54,-60.42,-118.98,3.02,-21.38,61.58,247.02,354.38,290.94,105.5,32.3
2.71,-2.17,-90.01,-168.09,-41.21,-46.09,17.35,207.67,324.79,266.23,71.03,-2.17
21.49,26.37,-66.35,-163.95,-27.31,-22.43,21.49,226.45,338.69,294.77,89.81,21.49
86.03,90.91,-6.69,-109.17,32.35,42.11,81.15,295.87,417.87,369.07,149.47,86.03
164.06,173.82,71.34,-45.78,105.5,120.14,154.3,383.66,495.9,456.86,237.26,168.94
215.97,225.73,118.37,-3.63,157.41,172.05,196.45,430.69,547.81,508.77,279.41,215.97
216.32,201.68,89.44,1.6,167.52,143.12,206.56,450.56,567.68,528.64,299.28,230.96
157.87,133.47,26.11,-42.21,113.95,79.79,157.87,421.39,538.51,499.47,270.11,192.03
89.23,59.95,-52.29,-120.61,45.31,1.39,79.47,352.75,489.39,440.59,191.71,113.63
45.42,21.02,-100.98,-183.94,-3.38,-42.42,35.66,318.7,465.1,416.3,157.66,79.58
45.77,36.01,-90.87,-203.11,-12.79,-27.43,16.49,319.05,475.21,431.29,158.01,70.17
97.68,97.68,-34.08,-165.84,29.36,29.36,63.52,370.96,536.88,502.72,214.8,122.08
175.71,190.35,53.71,-102.45,97.63,122.03,126.91,453.87,619.79,600.27,302.59,209.87
240.25,264.65,123.13,-52.55,157.29,191.45,181.69,533.05,698.97,684.33,381.77,279.29
263.91,273.67,122.39,-43.53,180.95,195.59,200.47,561.59,727.51,717.75,405.43,312.71
229.44,229.44,73.28,-82.88,151.36,151.36,161.12,546.64,707.68,697.92,380.72,288.0
163.11,177.75,16.71,-163.85,75.27,94.79,94.79,485.19,646.23,646.23,333.91,231.43
103.57,93.81,-72.11,-223.39,25.49,10.85,40.13,445.17,630.61,615.97,293.89,186.53
85.8,80.92,-89.88,-250.92,2.84,-6.92,12.6,437.16,632.36,612.84,271.24,173.64
131.89,131.89,-53.55,-238.99,39.17,39.17,44.05,488.13,693.09,678.45,322.21,219.73
210.2,215.08,19.88,-180.2,107.72,117.48,112.6,566.44,795.8,776.28,410.28,298.04
283.63,303.15,103.07,-126.29,171.39,200.67,166.51,634.99,878.99,874.11,493.47,376.35
319.96,354.12,149.16,-104.6,197.96,251.64,193.08,685.96,929.96,934.84,549.32,427.32
302.19,331.47,121.63,-132.13,180.19,224.11,175.31,687.71,941.47,946.35,560.83,424.19
247.53,296.33,76.73,-216.07,110.89,184.09,101.13,633.05,886.81,906.33,506.17,374.41
190.96,234.88,0.64,-297.04,49.44,117.76,25.04,581.36,835.12,854.64,459.36,322.72
156.49,195.53,-43.59,-341.27,14.97,73.53,-14.31,551.77,820.17,839.69,449.29,307.77
180.15,228.95,-19.93,-342.01,28.87,102.07,-5.29,580.31,858.47,877.99,482.71,331.43
244.69,298.37,44.61,-287.23,88.53,171.49,54.37,659.49,947.41,966.93,566.77,410.61
332.48,376.4,108.0,-223.84,176.32,239.76,122.64,732.64,1054.72,1074.24,664.32,498.4
394.15,447.83,164.79,-196.33,223.35,306.31,155.03,784.55,1116.39,1145.67,721.11,555.19
399.38,453.06,160.26,-210.62,223.7,306.66,140.74,780.02,1131.38,1160.66,740.98,555.54
340.93,409.25,121.33,-269.07,160.37,262.85,87.17,736.21,1092.45,1136.37,716.69,536.13
267.41,350.37,62.45,-347.47,81.97,203.97,18.53,672.45,1038.45,1087.25,672.45,482.13
223.6,316.32,18.64,-415.68,28.4,165.04,-54.56,618.88,989.76,1043.44,648.16,438.32
238.59,326.43,9.23,-439.73,33.63,165.39,-63.97,624.11,994.99,1053.55,663.15,453.31
290.5,358.82,36.74,-387.82,95.3,197.78,-21.82,676.02,1051.78,1120.1,710.18,519.86
368.53,446.61,119.65,-324.43,163.57,280.69,46.45,744.29,1139.57,1203.01,793.09,602.77
433.07,530.67,198.83,-279.41,218.35,364.75,101.23,803.95,1218.75,1277.31,857.63,662.43
451.85,554.33,217.61,-270.39,232.25,383.53,105.37,808.09,1237.53,1300.97,886.17,676.33
412.5,519.86,183.14,-314.62,188.02,349.06,61.14,768.74,1203.06,1281.14,856.58,641.86
346.17,448.65,107.05,-385.83,121.69,277.85,-14.95,692.65,1141.61,1219.69,795.13,585.29
271.99,403.75,71.91,-455.13,37.75,237.83,-98.89,603.83,1062.55,1150.39,735.59,530.63
254.22,390.86,54.14,-487.54,15.1,220.06,-126.42,571.42,1025.26,1122.86,717.82,512.86
275.91,417.43,90.47,-446.33,41.67,251.51,-99.85,588.23,1046.95,1149.43,754.15,544.31
344.46,471.34,144.38,-372.9,115.1,305.42,-31.3,656.78,1110.62,1213.1,842.22,627.5
422.77,549.65,212.93,-314.11,188.53,378.85,37.25,715.57,1164.53,1276.77,901.01,696.05
449.34,585.98,254.14,-282.66,215.1,420.06,68.7,727.5,1181.34,1288.7,927.58,712.86
416.93,568.21,246.13,-300.43,177.81,407.17,41.17,680.45,1144.05,1251.41,880.53,675.57
352.51,503.79,181.71,-364.85,113.39,342.75,-28.13,601.39,1060.11,1167.47,796.59,606.27
266.66,432.58,125.14,-431.18,27.54,276.42,-104.22,505.78,964.5,1062.1,700.98,510.66
222.43,398.11,95.55,-470.53,-16.69,246.83,-153.33,432.27,890.99,998.35,632.35,451.79
221.69,402.25,114.33,-441.99,-12.55,255.85,-144.31,416.89,870.73,973.21,631.61,446.17
266.71,452.15,178.87,-372.57,37.35,315.51,-79.77,457.03,891.35,1003.59,681.51,496.07
330.1,525.3,261.78,-294.54,100.74,393.54,-6.62,500.9,920.58,1032.82,720.5,549.7
357.61,552.81,308.81,-227.99,138.01,430.81,35.53,523.53,933.45,1026.17,728.49,567.45
338.44,519.0,289.64,-208.12,133.48,401.88,40.76,499.48,885.0,982.6,704.44,538.52
